id,name,maker,variant,type,productType,strainType,thcPct,cbdPct,terpenes,genetics,countryOfOrigin,irradiationStatus,producerUseCases,producerNotes,sourceName,sourceUrl,sourceType,sourceCheckedAt,sourceLicense,sourceNotes
ecocann-access-black-cherry-pie-18-1-flower,Black Cherry Pie,EcoCann Access,,,flower,Hybrid,18,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
greyscales-gelato-dream-26-1-flower,Gelato Dream,Greyscales,,,flower,Hybrid,26,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
carmel-masterpiece-27-1-flower,Masterpiece,Carmel,,,flower,Hybrid,27,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
carmel-thin-mint-jealousy-25-1-flower,Thin Mint Jealousy,Carmel,,,flower,Hybrid,25,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
muzon-frosted-fruit-cake-28-1-flower,Frosted Fruit Cake,Muzon,,,flower,Indica Hybrid,28,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
four20-frozen-lemons-28-1-flower,Frozen Lemons,Four20 Pharma,,,flower,Sativa Hybrid,28,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
cookies-vienna-31-1-flower,Vienna,Cookies,,,flower,Hybrid,31,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
cookies-gelatti-32-1-flower,Gelatti,Cookies,,,flower,Indica Hybrid,32,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
green-joy-pink-lilac-25-1-flower,Pink Lilac,Green Joy,,,flower,Sativa Hybrid,25,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
wellford-aqua-legendary-bozy-29-1-flower,Legendary Bozy,Wellford Aqua,,,flower,Indica Hybrid,29,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
upstate-grape-burger-24-1-flower,Grape Burger,Upstate,,,flower,Indica Hybrid,24,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
four20-gastro-pop-31-1-flower,Gastro Pop,Four20 Pharma,,,flower,Indica Hybrid,31,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
ips-pharma-lasage-26-1-flower,L. A. S. A. G. E.,IPS Pharma,,,flower,Hybrid,26,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
avaay-khalifa-mints-28-1-flower,Khalifa Mints,Avaay,,,flower,Hybrid,28,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
tastee-bitz-banjo-22-1-flower,Banjo,Tastee Bitz,,,flower,Hybrid,22,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
tastee-bitz-blunicorn-22-1-flower,Blunicorn,Tastee Bitz,,,flower,Hybrid,22,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
find-zour-apples-22-1-flower,Zour Apples,Find,,,flower,Indica Hybrid,22,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
4clabs-afghan-lights-23-1-flower,Afghan Lights,4C Labs,,,flower,Hybrid,23,1,,,,,,,,,,,,"Use only publicly accessible manufacturer, grower, or pharmacy pages where reuse is permitted. Do not copy editorial prose or images."
